"id","code","name","definition"
hc_base.subs_code_88921000,"88921000","Fibril","Fibril (substance)"
hc_base.subs_code_61268003,"61268003","Gastrointestinal contents","Gastrointestinal contents (substance)"
hc_base.subs_code_116180002,"116180002","Intracellular substance","Intracellular substance (substance)"
hc_base.subs_code_396196005,"396196005","Nasal contents","Nasal contents (substance)"
hc_base.subs_code_62812000,"62812000","Pharyngeal contents","Pharyngeal contents (substance)"
hc_base.subs_code_255622004,"255622004","Regurgitated food","Regurgitated food (substance)"
hc_base.subs_code_396195009,"396195009","Sinus contents","Sinus contents (substance)"
hc_base.subs_code_416814000,"416814000","Vernix caseosa","Vernix caseosa (substance)"
hc_base.subs_code_88376000,"88376000","Carcinogen","Carcinogen (substance)"
hc_base.subs_code_39701004,"39701004","Metabolite AND/OR marker of carcinogen","Metabolite AND/OR marker of carcinogen (substance)"
hc_base.subs_code_24648004,"24648004","Metabolite AND/OR marker of neoplasm","Metabolite AND/OR marker of neoplasm (substance)"
hc_base.subs_code_41469002,"41469002","Oncogene protein","Oncogene protein (substance)"
hc_base.subs_code_72909000,"72909000","Tumor-associated antigen","Tumor-associated antigen (substance)"
hc_base.subs_code_312414008,"312414008","Chemical categorized functionally","Chemical categorized functionally (substance)"
hc_base.subs_code_312415009,"312415009","Chemical categorized structurally","Chemical categorized structurally (substance)"
hc_base.subs_code_230051009,"230051009","Beverage whiteners","Beverage whiteners (substance)"
hc_base.subs_code_226465004,"226465004","Drinks","Drinks (substance)"
hc_base.subs_code_427298002,"427298002","Enteral dietary supplement","Enteral dietary supplement (substance)"
hc_base.subs_code_59533004,"59533004","Food additive","Food additive (substance)"
hc_base.subs_code_255620007,"255620007","Foods","Foods (substance)"
hc_base.subs_code_229979003,"229979003","General food and drink types","General food and drink types (substance)"
hc_base.subs_code_226356005,"226356005","Protein and protein derivatives - dietary","Protein and protein derivatives - dietary (substance)"
hc_base.subs_code_440551000124102,"440551000124102","Bioactive substance","Bioactive substance (substance)"
hc_base.subs_code_372486003,"372486003","5-HT>3< receptor antagonist","5-HT>3< receptor antagonist (substance)"
hc_base.subs_code_24686008,"24686008","Acaricide","Acaricide (substance)"
hc_base.subs_code_372621000,"372621000","Alcohol metabolism modifier","Alcohol metabolism modifier (substance)"
hc_base.subs_code_64896002,"64896002","Allergenic extract","Allergenic extract (substance)"
hc_base.subs_code_417485007,"417485007","Amylin analog","Amylin analog (substance)"
hc_base.subs_code_373265006,"373265006","Analgesic","Analgesic (substance)"
hc_base.subs_code_373266007,"373266007","Anesthetic","Anesthetic (substance)"
hc_base.subs_code_373249005,"373249005","Anti-infective agent","Anti-infective agent (substance)"
hc_base.subs_code_372806008,"372806008","Antihistamine","Antihistamine (substance)"
hc_base.subs_code_372688009,"372688009","Antineoplastic agent","Antineoplastic agent (substance)"
hc_base.subs_code_373289004,"373289004","Autonomic agent","Autonomic agent (substance)"
hc_base.subs_code_52720007,"52720007","Bismuth compound","Bismuth compound (substance)"
hc_base.subs_code_419853008,"419853008","Bromine compound agent","Bromine compound agent (substance)"
hc_base.subs_code_418540006,"418540006","Calcium regulating agent","Calcium regulating agent (substance)"
hc_base.subs_code_373247007,"373247007","Cardiovascular agent","Cardiovascular agent (substance)"
hc_base.subs_code_372752008,"372752008","Central nervous system agent","Central nervous system agent (substance)"
hc_base.subs_code_373233008,"373233008","Chelating agent / antidote","Chelating agent / antidote (substance)"
hc_base.subs_code_105925009,"105925009","Cholelitholytic AND/OR choleretic agent","Cholelitholytic AND/OR choleretic agent (substance)"
hc_base.subs_code_373782009,"373782009","Diagnostic substance","Diagnostic substance (substance)"
hc_base.subs_code_372695000,"372695000","Diuretic","Diuretic (substance)"
hc_base.subs_code_373380003,"373380003","Emollient","Emollient (substance)"
hc_base.subs_code_373459008,"373459008","Enzyme agent","Enzyme agent (substance)"
hc_base.subs_code_407312007,"407312007","Enzyme inhibitor","Enzyme inhibitor (substance)"
hc_base.subs_code_419614002,"419614002","Ergoline derivative","Ergoline derivative (substance)"
hc_base.subs_code_373258003,"373258003","Gastrointestinal agent","Gastrointestinal agent (substance)"
hc_base.subs_code_373708006,"373708006","Hematologic agent","Hematologic agent (substance)"
hc_base.subs_code_418165002,"418165002","Herbal medicine agent","Herbal medicine agent (substance)"
hc_base.subs_code_419863000,"419863000","Hormone, hormone metabolite, hormone precursor, synthetic hormone substitute, AND/OR hormone antagonist","Hormone, hormone metabolite, hormone precursor, synthetic hormone substitute, AND/OR hormone antagonist (substance)"
hc_base.subs_code_373244000,"373244000","Immunologic agent","Immunologic agent (substance)"
hc_base.subs_code_372553000,"372553000","Mast cell stabilizer","Mast cell stabilizer (substance)"
hc_base.subs_code_373729002,"373729002","Monoclonal antibody agent","Monoclonal antibody agent (substance)"
hc_base.subs_code_410937004,"410937004","Oxytocic agent","Oxytocic agent (substance)"
hc_base.subs_code_418297009,"418297009","Pharmaceutical base or inactive agent","Pharmaceutical base or inactive agent (substance)"
